1	2	85.19
1	3	105.98
1	4	100.36
1	5	88.74
1	6	103.73
1	7	124.08
1	8	73.71
1	9	97.31
1	10	105.42
1	11	121.85
1	12	126.72
1	13	91.19
1	14	95.76
1	15	64.77
1	16	92.94
1	17	101.35
1	18	95.67
1	19	90.49
1	20	138.14
1	21	96.58
1	22	79.64
1	23	83.33
1	24	97.88
1	25	103.00
2	3	126.33
2	4	81.85
2	5	130.04
2	6	128.43
2	7	117.44
2	8	86.59
2	9	102.51
2	10	77.74
2	11	83.89
2	12	106.77
2	13	80.03
2	14	95.36
2	15	93.58
2	16	117.99
2	17	100.36
2	18	61.39
2	19	103.83
2	20	121.35
2	21	92.44
2	22	103.81
2	23	90.54
2	24	96.97
2	25	94.55
3	4	129.25
3	5	74.66
3	6	89.23
3	7	104.00
3	8	129.80
3	9	84.32
3	10	107.04
3	11	94.30
3	12	124.78
3	13	104.05
3	14	112.97
3	15	112.21
3	16	119.26
3	17	91.70
3	18	116.16
3	19	104.54
3	20	84.79
3	21	97.58
3	22	109.55
3	23	96.85
3	24	109.65
3	25	90.64
4	5	93.40
4	6	88.14
4	7	92.29
4	8	104.98
4	9	121.97
4	10	100.32
4	11	84.50
4	12	92.04
4	13	121.04
4	14	72.56
4	15	83.39
4	16	99.22
4	17	96.47
4	18	103.59
4	19	77.41
4	20	105.66
4	21	84.97
4	22	114.56
4	23	123.70
4	24	91.10
4	25	141.83
5	6	107.43
5	7	89.80
5	8	90.28
5	9	104.03
5	10	82.54
5	11	115.58
5	12	103.53
5	13	108.95
5	14	107.65
5	15	92.03
5	16	117.63
5	17	118.70
5	18	73.23
5	19	98.10
5	20	97.58
5	21	106.36
5	22	90.21
5	23	111.65
5	24	103.97
5	25	75.46
6	7	110.11
6	8	116.84
6	9	96.62
6	10	103.79
6	11	110.93
6	12	87.03
6	13	86.88
6	14	93.98
6	15	128.97
6	16	106.67
6	17	113.97
6	18	110.97
6	19	79.09
6	20	71.89
6	21	91.30
6	22	128.30
6	23	114.97
6	24	93.12
6	25	112.74
7	8	90.44
7	9	115.48
7	10	97.07
7	11	83.97
7	12	91.54
7	13	129.25
7	14	129.84
7	15	95.94
7	16	93.70
7	17	111.93
7	18	115.42
7	19	100.92
7	20	83.43
7	21	73.58
7	22	99.95
7	23	93.16
7	24	111.50
7	25	97.64
8	9	93.66
8	10	94.78
8	11	101.84
8	12	99.23
8	13	83.94
8	14	122.04
8	15	111.49
8	16	106.80
8	17	79.41
8	18	80.70
8	19	100.06
8	20	110.79
8	21	77.13
8	22	96.01
8	23	87.56
8	24	67.79
8	25	99.35
9	10	101.10
9	11	118.64
9	12	127.72
9	13	96.22
9	14	103.60
9	15	89.53
9	16	111.49
9	17	95.44
9	18	120.78
9	19	74.94
9	20	122.80
9	21	88.36
9	22	107.42
9	23	82.39
9	24	81.54
9	25	90.27
10	11	82.37
10	12	119.06
10	13	70.54
10	14	81.24
10	15	76.62
10	16	117.43
10	17	101.31
10	18	87.51
10	19	98.45
10	20	78.97
10	21	96.09
10	22	95.49
10	23	87.36
10	24	85.39
10	25	101.96
11	12	118.97
11	13	89.02
11	14	70.75
11	15	93.78
11	16	91.27
11	17	95.57
11	18	90.95
11	19	112.02
11	20	74.64
11	21	112.91
11	22	94.94
11	23	109.11
11	24	101.53
11	25	126.80
12	13	73.97
12	14	102.77
12	15	111.76
12	16	107.60
12	17	109.67
12	18	65.55
12	19	109.36
12	20	136.77
12	21	103.24
12	22	78.72
12	23	128.02
12	24	95.85
12	25	96.75
13	14	93.42
13	15	117.44
13	16	87.94
13	17	90.23
13	18	110.22
13	19	107.21
13	20	112.14
13	21	94.27
13	22	97.49
13	23	110.91
13	24	98.94
13	25	103.59
14	15	113.13
14	16	108.13
14	17	77.84
14	18	93.27
14	19	93.51
14	20	81.02
14	21	101.97
14	22	79.71
14	23	126.75
14	24	118.55
14	25	110.54
15	16	97.68
15	17	72.48
15	18	105.95
15	19	68.69
15	20	90.16
15	21	95.50
15	22	87.54
15	23	76.35
15	24	113.51
15	25	115.88
16	17	95.93
16	18	99.66
16	19	115.80
16	20	87.30
16	21	89.98
16	22	102.47
16	23	101.63
16	24	91.57
16	25	95.82
17	18	121.06
17	19	101.25
17	20	111.28
17	21	104.04
17	22	98.44
17	23	119.37
17	24	106.13
17	25	130.46
18	19	121.10
18	20	98.01
18	21	129.51
18	22	117.70
18	23	102.51
18	24	93.40
18	25	97.26
19	20	78.46
19	21	117.33
19	22	104.69
19	23	69.59
19	24	116.30
19	25	111.67
20	21	125.19
20	22	112.11
20	23	112.28
20	24	85.54
20	25	123.22
21	22	106.25
21	23	97.13
21	24	70.66
21	25	93.13
22	23	106.61
22	24	90.76
22	25	117.89
23	24	125.83
23	25	132.05
24	25	105.10
